Storm ID,Cumulative Storm Time (hours),Intensity Profile (mm/hr)
Ex_Tips_2024_06_30,4.75,0.37
Ex_Tips_2024_06_30,4.7667,0.37
Ex_Tips_2024_06_30,4.7833,0.37
Ex_Tips_2024_06_30,4.8,0.37
Ex_Tips_2024_06_30,4.8167,0.37
Ex_Tips_2024_06_30,4.8333,0.37
Ex_Tips_2024_06_30,4.85,0.37
Ex_Tips_2024_06_30,4.8667,0.37
Ex_Tips_2024_06_30,4.8833,0.37
Ex_Tips_2024_06_30,4.9,0.37
Ex_Tips_2024_06_30,4.9167,0.37
Ex_Tips_2024_06_30,4.9333,0.37
Ex_Tips_2024_06_30,4.95,0.37
Ex_Tips_2024_06_30,4.9667,0.37
Ex_Tips_2024_06_30,4.9833,0.37
Ex_Tips_2024_06_30,5.0,0.39
Ex_Tips_2024_06_30,5.0167,0.41
Ex_Tips_2024_06_30,5.0333,0.42
Ex_Tips_2024_06_30,5.05,0.44
Ex_Tips_2024_06_30,5.0667,0.46
Ex_Tips_2024_06_30,5.0833,0.48
Ex_Tips_2024_06_30,5.1,0.5
Ex_Tips_2024_06_30,5.1167,0.51
Ex_Tips_2024_06_30,5.1333,0.53
Ex_Tips_2024_06_30,5.15,0.55
Ex_Tips_2024_06_30,5.1667,0.57
Ex_Tips_2024_06_30,5.1833,0.59
Ex_Tips_2024_06_30,5.2,0.6
Ex_Tips_2024_06_30,5.2167,0.62
Ex_Tips_2024_06_30,5.2333,0.64
Ex_Tips_2024_06_30,5.25,0.64
Ex_Tips_2024_06_30,5.2667,0.64
Ex_Tips_2024_06_30,5.2833,0.64
Ex_Tips_2024_06_30,5.3,0.63
Ex_Tips_2024_06_30,5.3167,0.6
Ex_Tips_2024_06_30,5.3333,0.57
Ex_Tips_2024_06_30,5.35,0.54
Ex_Tips_2024_06_30,5.3667,0.51
Ex_Tips_2024_06_30,5.3833,0.48
Ex_Tips_2024_06_30,5.4,0.45
Ex_Tips_2024_06_30,5.4167,0.42
Ex_Tips_2024_06_30,5.4333,0.39
Ex_Tips_2024_06_30,5.45,0.36
Ex_Tips_2024_06_30,5.4667,0.33
Ex_Tips_2024_06_30,5.4833,0.3
Ex_Tips_2024_06_30,5.5,0.27
Ex_Tips_2024_06_30,5.5167,0.24
Ex_Tips_2024_06_30,5.5333,0.21
Ex_Tips_2024_06_30,5.55,0.19
Ex_Tips_2024_06_30,5.5667,0.19
Ex_Tips_2024_06_30,5.5833,0.19
Ex_Tips_2024_06_30,5.6,0.19
Ex_Tips_2024_06_30,5.6167,0.19
Ex_Tips_2024_06_30,5.6333,0.19
Ex_Tips_2024_06_30,5.65,0.19
Ex_Tips_2024_06_30,5.6667,0.19
Ex_Tips_2024_06_30,5.6833,0.19
Ex_Tips_2024_06_30,5.7,0.19
Ex_Tips_2024_06_30,5.7167,0.19
Ex_Tips_2024_06_30,5.7333,0.19
Ex_Tips_2024_06_30,5.75,0.19
Ex_Tips_2024_06_30,5.7667,0.19
Ex_Tips_2024_06_30,5.7833,0.19
Ex_Tips_2024_06_30,5.8,0.19
Ex_Tips_2024_06_30,5.8167,0.19
Ex_Tips_2024_06_30,5.8333,0.19
Ex_Tips_2024_06_30,5.85,0.19
Ex_Tips_2024_06_30,5.8667,0.19
Ex_Tips_2024_06_30,5.8833,0.19
Ex_Tips_2024_06_30,5.9,0.19
Ex_Tips_2024_06_30,5.9167,0.19
Ex_Tips_2024_06_30,5.9333,0.19
Ex_Tips_2024_06_30,5.95,0.19
Ex_Tips_2024_06_30,5.9667,0.19
Ex_Tips_2024_06_30,5.9833,0.19
Ex_Tips_2024_06_30,6.0,0.19
Ex_Tips_2024_06_30,6.0167,0.19
Ex_Tips_2024_06_30,6.0333,0.19
Ex_Tips_2024_06_30,6.05,0.19
Ex_Tips_2024_06_30,6.0667,0.19
Ex_Tips_2024_06_30,6.0833,0.19
Ex_Tips_2024_06_30,6.1,0.19
Ex_Tips_2024_06_30,6.1167,0.19
Ex_Tips_2024_06_30,6.1333,0.19
Ex_Tips_2024_06_30,6.15,0.19
Ex_Tips_2024_06_30,6.1667,0.19
Ex_Tips_2024_06_30,6.1833,0.19
Ex_Tips_2024_06_30,6.2,0.19
Ex_Tips_2024_06_30,6.2167,0.19
Ex_Tips_2024_06_30,6.2333,0.19
Ex_Tips_2024_06_30,6.25,0.19
Ex_Tips_2024_06_30,6.2667,0.19
Ex_Tips_2024_06_30,6.2833,0.19
Ex_Tips_2024_06_30,6.3,0.19
Ex_Tips_2024_06_30,6.3167,0.19
Ex_Tips_2024_06_30,6.3333,0.19
Ex_Tips_2024_06_30,6.35,0.19
Ex_Tips_2024_06_30,6.3667,0.18
Ex_Tips_2024_06_30,6.3833,0.18
Ex_Tips_2024_06_30,6.4,0.17
Ex_Tips_2024_06_30,6.4167,0.16
Ex_Tips_2024_06_30,6.4333,0.15
Ex_Tips_2024_06_30,6.45,0.14
Ex_Tips_2024_06_30,6.4667,0.13
Ex_Tips_2024_06_30,6.4833,0.12
Ex_Tips_2024_06_30,6.5,0.12
Ex_Tips_2024_06_30,6.5167,0.11
Ex_Tips_2024_06_30,6.5333,0.1
Ex_Tips_2024_06_30,6.55,0.09
Ex_Tips_2024_06_30,6.5667,0.08
Ex_Tips_2024_06_30,6.5833,0.07
Ex_Tips_2024_06_30,6.6,0.07
Ex_Tips_2024_06_30,6.6167,0.06
Ex_Tips_2024_06_30,6.6333,0.06
Ex_Tips_2024_06_30,6.65,0.06
Ex_Tips_2024_06_30,6.6667,0.06
Ex_Tips_2024_06_30,6.6833,0.06
Ex_Tips_2024_06_30,6.7,0.06
Ex_Tips_2024_06_30,6.7167,0.06
Ex_Tips_2024_06_30,6.7333,0.06
Ex_Tips_2024_06_30,6.75,0.06
Ex_Tips_2024_06_30,6.7667,0.06
Ex_Tips_2024_06_30,6.7833,0.06
Ex_Tips_2024_06_30,6.8,0.06
Ex_Tips_2024_06_30,6.8167,0.06
Ex_Tips_2024_06_30,6.8333,0.06
Ex_Tips_2024_06_30,6.85,0.06
Ex_Tips_2024_06_30,6.8667,0.06
Ex_Tips_2024_06_30,6.8833,0.06
Ex_Tips_2024_06_30,6.9,0.06
Ex_Tips_2024_06_30,6.9167,0.06
Ex_Tips_2024_06_30,6.9333,0.06
Ex_Tips_2024_06_30,6.95,0.06
Ex_Tips_2024_06_30,6.9667,0.06
Ex_Tips_2024_06_30,6.9833,0.06
Ex_Tips_2024_06_30,7.0,0.06
Ex_Tips_2024_06_30,7.0167,0.06
Ex_Tips_2024_06_30,7.0333,0.06
Ex_Tips_2024_06_30,7.05,0.06
Ex_Tips_2024_06_30,7.0667,0.06
Ex_Tips_2024_06_30,7.0833,0.06
Ex_Tips_2024_06_30,7.1,0.06
Ex_Tips_2024_06_30,7.1167,0.06
Ex_Tips_2024_06_30,7.1333,0.06
Ex_Tips_2024_06_30,7.15,0.06
Ex_Tips_2024_06_30,7.1667,0.06
Ex_Tips_2024_06_30,7.1833,0.06
Ex_Tips_2024_06_30,7.2,0.06
Ex_Tips_2024_06_30,7.2167,0.06
Ex_Tips_2024_06_30,7.2333,0.06
Ex_Tips_2024_06_30,7.25,0.06
Ex_Tips_2024_06_30,7.2667,0.06
Ex_Tips_2024_06_30,7.2833,0.06
Ex_Tips_2024_06_30,7.3,0.06
Ex_Tips_2024_06_30,7.3167,0.06
Ex_Tips_2024_06_30,7.3333,0.06
Ex_Tips_2024_06_30,7.35,0.06
Ex_Tips_2024_06_30,7.3667,0.06
Ex_Tips_2024_06_30,7.3833,0.06
Ex_Tips_2024_06_30,7.4,0.06
Ex_Tips_2024_06_30,7.4167,0.06
Ex_Tips_2024_06_30,7.4333,0.06
Ex_Tips_2024_06_30,7.45,0.06
Ex_Tips_2024_06_30,7.4667,0.06
Ex_Tips_2024_06_30,7.4833,0.06
Ex_Tips_2024_06_30,7.5,0.06
Ex_Tips_2024_06_30,7.5167,0.06
Ex_Tips_2024_06_30,7.5333,0.06
Ex_Tips_2024_06_30,7.55,0.06
Ex_Tips_2024_06_30,7.5667,0.06
Ex_Tips_2024_06_30,7.5833,0.06
Ex_Tips_2024_06_30,7.6,0.06
Ex_Tips_2024_06_30,7.6167,0.06
Ex_Tips_2024_06_30,7.6333,0.06
Ex_Tips_2024_06_30,7.65,0.06
Ex_Tips_2024_06_30,7.6667,0.06
Ex_Tips_2024_06_30,7.6833,0.06
Ex_Tips_2024_06_30,7.7,0.06
Ex_Tips_2024_06_30,7.7167,0.06
Ex_Tips_2024_06_30,7.7333,0.06
Ex_Tips_2024_06_30,7.75,0.06
Ex_Tips_2024_06_30,7.7667,0.06
Ex_Tips_2024_06_30,7.7833,0.06
Ex_Tips_2024_06_30,7.8,0.06
Ex_Tips_2024_06_30,7.8167,0.06
Ex_Tips_2024_06_30,7.8333,0.06
Ex_Tips_2024_06_30,7.85,0.06
Ex_Tips_2024_06_30,7.8667,0.06
Ex_Tips_2024_06_30,7.8833,0.06
Ex_Tips_2024_06_30,7.9,0.06
Ex_Tips_2024_06_30,7.9167,0.06
Ex_Tips_2024_06_30,7.9333,0.06
Ex_Tips_2024_06_30,7.95,0.06
Ex_Tips_2024_06_30,7.9667,0.06
Ex_Tips_2024_06_30,7.9833,0.06
Ex_Tips_2024_06_30,8.0,0.06
Ex_Tips_2024_06_30,8.0167,0.06
Ex_Tips_2024_06_30,8.0333,0.06
Ex_Tips_2024_06_30,8.05,0.06
Ex_Tips_2024_06_30,8.0667,0.06
Ex_Tips_2024_06_30,8.0833,0.06
Ex_Tips_2024_06_30,8.1,0.06
Ex_Tips_2024_06_30,8.1167,0.06
Ex_Tips_2024_06_30,8.1333,0.06
Ex_Tips_2024_06_30,8.15,0.06
Ex_Tips_2024_06_30,8.1667,0.06
Ex_Tips_2024_06_30,8.1833,0.06
Ex_Tips_2024_06_30,8.2,0.06
Ex_Tips_2024_06_30,8.2167,0.06
Ex_Tips_2024_06_30,8.2333,0.06
